Time	UE Id	DistanceX	DistanceY
36.9	2	688	-150
37	0	490	-150
37	1	590	-150
37	2	690	-150
37.1	0	492	-150
37.1	1	592	-150
37.1	2	692	-150
37.2	0	494	-150
37.2	1	594	-150
37.2	2	694	-150
37.3	0	496	-150
37.3	1	596	-150
37.3	2	696	-150
37.4	0	498	-150
37.4	1	598	-150
37.4	2	698	-150
37.5	0	500	-150
37.5	1	600	-150
37.5	2	700	-150
37.6	0	502	-150
37.6	1	602	-150
37.6	2	702	-150
37.7	0	504	-150
37.7	1	604	-150
37.7	2	704	-150
37.8	0	506	-150
37.8	1	606	-150
37.8	2	706	-150
37.9	0	508	-150
37.9	1	608	-150
37.9	2	708	-150
38	0	510	-150
38	1	610	-150
38	2	710	-150
38.1	0	512	-150
38.1	1	612	-150
38.1	2	712	-150
38.2	0	514	-150
38.2	1	614	-150
38.2	2	714	-150
38.3	0	516	-150
38.3	1	616	-150
38.3	2	716	-150
38.4	0	518	-150
38.4	1	618	-150
38.4	2	718	-150
38.5	0	520	-150
38.5	1	620	-150
38.5	2	720	-150
38.6	0	522	-150
38.6	1	622	-150
38.6	2	722	-150
38.7	0	524	-150
38.7	1	624	-150
38.7	2	724	-150
38.8	0	526	-150
38.8	1	626	-150
38.8	2	726	-150
38.9	0	528	-150
38.9	1	628	-150
38.9	2	728	-150
39	0	530	-150
39	1	630	-150
39	2	730	-150
39.1	0	532	-150
39.1	1	632	-150
39.1	2	732	-150
39.2	0	534	-150
39.2	1	634	-150
39.2	2	734	-150
39.3	0	536	-150
39.3	1	636	-150
39.3	2	736	-150
39.4	0	538	-150
39.4	1	638	-150
39.4	2	738	-150
39.5	0	540	-150
39.5	1	640	-150
39.5	2	740	-150
39.6	0	542	-150
39.6	1	642	-150
39.6	2	742	-150
39.7	0	544	-150
39.7	1	644	-150
39.7	2	744	-150
39.8	0	546	-150
39.8	1	646	-150
39.8	2	746	-150
39.9	0	548	-150
39.9	1	648	-150
39.9	2	748	-150
40	0	550	-150
40	1	650	-150
40	2	750	-150
40.1	0	552	-150
40.1	1	652	-150
40.1	2	752	-150
40.2	0	554	-150
40.2	1	654	-150
40.2	2	754	-150
40.3	0	556	-150
40.3	1	656	-150
40.3	2	756	-150
40.4	0	558	-150
40.4	1	658	-150
40.4	2	758	-150
40.5	0	560	-150
40.5	1	660	-150
40.5	2	760	-150
40.6	0	562	-150
40.6	1	662	-150
40.6	2	762	-150
40.7	0	564	-150
40.7	1	664	-150
40.7	2	764	-150
40.8	0	566	-150
40.8	1	666	-150
40.8	2	766	-150
40.9	0	568	-150
40.9	1	668	-150
40.9	2	768	-150
41	0	570	-150
41	1	670	-150
41	2	770	-150
41.1	0	572	-150
41.1	1	672	-150
41.1	2	772	-150
41.2	0	574	-150
41.2	1	674	-150
41.2	2	774	-150
41.3	0	576	-150
41.3	1	676	-150
41.3	2	776	-150
41.4	0	578	-150
41.4	1	678	-150
41.4	2	778	-150
41.5	0	580	-150
41.5	1	680	-150
41.5	2	780	-150
41.6	0	582	-150
41.6	1	682	-150
41.6	2	782	-150
41.7	0	584	-150
41.7	1	684	-150
41.7	2	784	-150
41.8	0	586	-150
41.8	1	686	-150
41.8	2	786	-150
41.9	0	588	-150
41.9	1	688	-150
41.9	2	788	-150
42	0	590	-150
